Binary_extinction_response,Graded_extinction_response,Taxon,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies,Island,Body_mass,Mongoose,Area_km2,Mean_HFP,Proportion_ForestCover2000,Proportion_ForestLoss2000,Mean_Elevation,Max_Elevation,Active_Holocene_volcano,Hurricane,First_human_arrival,taxon
0,0,Acratocnus antillensis,Xenarthra,Phyllophaga,Megalonychidae,Choloepodinae,Acratocnus,antillensis,NA,Cuba,26.25,1,123293.4827,42.37540629,0.298644244,0.044767589,102.3630598,1973,0,45,5904,Acratocnus_antillensis
0,0,Acratocnus antillensis,Xenarthra,Phyllophaga,Megalonychidae,Choloepodinae,Acratocnus,antillensis,NA,Juventud,26.25,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Acratocnus_antillensis
0,0,Acratocnus odontrigonus,Xenarthra,Phyllophaga,Megalonychidae,Choloepodinae,Acratocnus,odontrigonus,NA,Puerto Rico,22.99,1,9719.527968,63.35270754,0.517907357,0.027338401,238.0045899,1328,0,45,4654,Acratocnus_odontrigonus
0,0,Acratocnus simorhynchus,Xenarthra,Phyllophaga,Megalonychidae,Choloepodinae,Acratocnus,simorhynchus,NA,Hispaniola,16.38,1,82765.60558,38.1338199,0.374443293,0.073605144,406.1492732,3097,0,41.25,6024,Acratocnus_simorhynchus
0,0,Acratocnus ye,Xenarthra,Phyllophaga,Megalonychidae,Choloepodinae,Acratocnus,ye,NA,Hispaniola,21.31,1,82765.60558,38.1338199,0.374443293,0.073605144,406.1492732,3097,0,41.25,6024,Acratocnus_ye
0,1,Antillomys rayi,Rodentia,Myomorpha,Cricetidae,Sigmodontinae,Antillomys,rayi,NA,Antigua,0.28,1,313.5891362,62.85244773,0.324748034,0.039658492,46.70335546,392,0,61,5095,Antillomys_rayi
0,1,Antillomys rayi,Rodentia,Myomorpha,Cricetidae,Sigmodontinae,Antillomys,rayi,NA,Barbuda,0.28,1,169.3944959,19.5957391,0.432939844,0.005497081,11.88936774,50,0,57,3774,Antillomys_rayi
0,0,Antillomys rayi,Rodentia,Myomorpha,Cricetidae,Sigmodontinae,Antillomys,rayi,NA,Guadeloupe,0.28,1,1592.264376,54.69840233,0.502477956,0.017504471,183.6451743,1456,1,54,3639,Antillomys_rayi
0,1,Antillomys rayi,Rodentia,Myomorpha,Cricetidae,Sigmodontinae,Antillomys,rayi,NA,La Desirade,0.28,1,25.00126544,NA,0.421842138,0.003759437,99.68448717,282,0,NA,985,Antillomys_rayi
0,0,Antillomys rayi,Rodentia,Myomorpha,Cricetidae,Sigmodontinae,Antillomys,rayi,NA,Marie Galante,0.28,1,175.1849804,44.19035399,0.495692307,0.06787049,82.63719174,198,0,NA,4889,Antillomys_rayi
0,0,Antillothrix bernensis,Primates,Haplorrhini,NA,NA,Antillothrix,bernensis,NA,Hispaniola,4.57,1,82765.60558,38.1338199,0.374443293,0.073605144,406.1492732,3097,0,41.25,6024,Antillothrix_bernensis
0,1,Boromys offella,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Boromys,offella,NA,Cuba,0.32,1,123293.4827,42.37540629,0.298644244,0.044767589,102.3630598,1973,0,45,5904,Boromys_offella
0,0,Boromys offella,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Boromys,offella,NA,Juventud,0.32,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Boromys_offella
0,0,Boromys offella,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Boromys,offella,NA,Salinas,0.32,0,10.80306637,NA,0.369243621,0.000959187,2.611834418,11,0,NA,NA,Boromys_offella
0,1,Boromys torrei,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Boromys,torrei,NA,Cuba,0.12,1,123293.4827,42.37540629,0.298644244,0.044767589,102.3630598,1973,0,45,5904,Boromys_torrei
0,0,Boromys torrei,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Boromys,torrei,NA,Juventud,0.12,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Boromys_torrei
0,0,Brotomys contractus,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Brotomys,contractus,NA,Hispaniola,0.12,1,82765.60558,38.1338199,0.374443293,0.073605144,406.1492732,3097,0,41.25,6024,Brotomys_contractus
0,0,Brotomys voratus,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Brotomys,voratus,NA,Beata,0.4,0,48.69908433,NA,0.64631687,8.95E-05,32.61289786,87,0,NA,NA,Brotomys_voratus
0,0,Brotomys voratus,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Brotomys,voratus,NA,Gonave,0.4,1,761.3773049,31.21245721,0.111570133,0.115721128,217.6688598,776,0,NA,NA,Brotomys_voratus
0,1,Brotomys voratus,Rodentia,Hystricomorpha,Echimyidae,Heteropsomyinae,Brotomys,voratus,NA,Hispaniola,0.4,1,82765.60558,38.1338199,0.374443293,0.073605144,406.1492732,3097,0,41.25,6024,Brotomys_voratus
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Sabinal,3.36,1,397.0463374,30.17681317,0.499478289,0.002804188,6.52299201,34,0,NA,NA,Capromys_pilorides
