nameToAdd	MamPhy_tip
Nesophontes_edithae	Nesophontes_edithae_NESOPHONTIDAE_EULIPOTYPHLA
Nesophontes_hypomicrus	Nesophontes_hypomicrus_NESOPHONTIDAE_EULIPOTYPHLA
Nesophontes_micrus	Nesophontes_micrus_NESOPHONTIDAE_EULIPOTYPHLA
Nesophontes_paramicrus	Nesophontes_paramicrus_NESOPHONTIDAE_EULIPOTYPHLA
Nesophontes_hemicingulus	NA
Nesophontes_zamicrus	Nesophontes_zamicrus_NESOPHONTIDAE_EULIPOTYPHLA
Solenodon_arredondoi	NA
Solenodon_cubanus	Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA
Solenodon_marcanoi	Solenodon_marcanoi_SOLENODONTIDAE_EULIPOTYPHLA
Solenodon_paradoxus	Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA
Antillothrix_bernensis	NA
Insulacebus_toussaintiana	NA
Paralouatta_varonai	NA
Xenothrix_mcgregori	Xenothrix_mcgregori_PITHECIIDAE_PRIMATES
Capromys_pilorides	Capromys_pilorides_CAPROMYIDAE_RODENTIA
Geocapromys_brownii	Geocapromys_brownii_CAPROMYIDAE_RODENTIA
Geocapromys_columbianus	Geocapromys_columbianus_CAPROMYIDAE_RODENTIA
Geocapromys_ingrahami	Geocapromys_ingrahami_CAPROMYIDAE_RODENTIA
Geocapromys_caymanensis	NA
Geocapromys_thoracatus	Geocapromys_thoracatus_CAPROMYIDAE_RODENTIA
Macrocapromys_acevedo	NA
Macrocapromys_latus	NA
Mesocapromys_kraglievichi	NA
Mesocapromys_angelcabrerai	Mesocapromys_angelcabrerai_CAPROMYIDAE_RODENTIA
Mesocapromys_auritus	Mesocapromys_auritus_CAPROMYIDAE_RODENTIA
Mesocapromys_melanurus	Mesocapromys_melanurus_CAPROMYIDAE_RODENTIA
Mesocapromys_nanus	Mesocapromys_nanus_CAPROMYIDAE_RODENTIA
Mesocapromys_sanfelipensis	Mesocapromys_sanfelipensis_CAPROMYIDAE_RODENTIA
Mysateles_prehensilis	Mysateles_prehensilis_CAPROMYIDAE_RODENTIA
Hexolobodon_phenax	Hexolobodon_phenax_CAPROMYIDAE_RODENTIA
Hexolobodontinae_sp._nov.	NA
Isolobodon_montanus	Isolobodon_montanus_CAPROMYIDAE_RODENTIA
Isolobodon_portoricensis	Isolobodon_portoricensis_CAPROMYIDAE_RODENTIA
Hyperplagiodontia_araeum	NA
Plagiodontia_spelaeum	NA
Plagiodontia_aedium	Plagiodontia_aedium_CAPROMYIDAE_RODENTIA
Plagiodontia_velozi	NA
Rhizoplagiodontia_lemkei	NA
Boromys_offella	Boromys_offella_ECHIMYIDAE_RODENTIA
Boromys_torrei	Boromys_torrei_ECHIMYIDAE_RODENTIA
Brotomys_contractus	NA
Brotomys_voratus	Brotomys_voratus_ECHIMYIDAE_RODENTIA
Heteropsomys_insulans	Heteropsomys_insulans_ECHIMYIDAE_RODENTIA
Clidomys_osborni	NA
Elasmodontomys_obliquus	NA
Quemisia_gravis	NA
Sheep_Pen_femur_(unidentified_rodent_taxon)	NA
Tainotherium_valei	NA
Xaymaca_fulvopulvis	NA
Oryzomys_antillarum	Oryzomys_antillarum_CRICETIDAE_RODENTIA
Antillomys_rayi	Hylaeamys_yunganus_CRICETIDAE_RODENTIA
Megalomys_audreyae	NA
Megalomys_desmarestii	Megalomys_desmarestii_CRICETIDAE_RODENTIA
Megalomys_georginae	NA
Megalomys_luciae	Megalomys_luciae_CRICETIDAE_RODENTIA
Oryzomyini_undescribed_species_(Anguilla_taxon)	NA
Oryzomyini_undescribed_species_(large_Grenada_taxon)	NA
Oryzomyini_undescribed_species_(large_Montserrat_taxon)	NA
Oryzomyini_undescribed_species_(Saba_taxon)	NA
Oryzomyini_undescribed_species_(small_Grenada_taxon)	NA
Oryzomyini_undescribed_species_(small_Montserrat_taxon)	NA
Oryzomyini_undescribed_species_(St._Martin_taxon)	NA
Oligoryzomys_victus	Oligoryzomys_victus_CRICETIDAE_RODENTIA
Pennatomys_nivalis	Pennatomys_nivalis_CRICETIDAE_RODENTIA
Zygodontomys_sp.	Zygodontomys_brevicauda_CRICETIDAE_RODENTIA
Acratocnus_antillensis	NA
Acratocnus_odontrigonus	NA
Acratocnus_simorhynchus	NA
Acratocnus_ye	NA
Neocnus_gliriformis	NA
Neocnus_comes	NA
Neocnus_dousman	NA
Neocnus_toupiti	NA
Megalocnus_rodens	NA
Megalocnus_zile	NA
Parocnus_browni	NA
Parocnus_serus	NA
Choloepus_hoffmanni	Choloepus_hoffmanni_MEGALONYCHIDAE_PILOSA
Choloepus_didactylus	Choloepus_didactylus_MEGALONYCHIDAE_PILOSA
Callicebus_cupreus	Callicebus_cupreus_PITHECIIDAE_PRIMATES
