nameToAdd	mrca1	mrca2
Nesophontes_edithae	NA	NA
Nesophontes_hypomicrus	NA	NA
Nesophontes_micrus	NA	NA
Nesophontes_paramicrus	NA	NA
Nesophontes_hemicingulus	Nesophontes_paramicrus	Nesophontes_zamicrus
Nesophontes_zamicrus	NA	NA
Solenodon_arredondoi	Solenodon_cubanus	Solenodon_marcanoi
Solenodon_cubanus	NA	NA
Solenodon_marcanoi	NA	NA
Solenodon_paradoxus	NA	NA
Antillothrix_bernensis	Callicebus_cupreus	Xenothrix_mcgregori
Insulacebus_toussaintiana	Callicebus_cupreus	Xenothrix_mcgregori
Paralouatta_varonai	Callicebus_cupreus	Xenothrix_mcgregori
Xenothrix_mcgregori	NA	NA
Capromys_pilorides	NA	NA
Geocapromys_brownii	NA	NA
Geocapromys_columbianus	NA	NA
Geocapromys_ingrahami	NA	NA
Geocapromys_caymanensis	Geocapromys_brownii	Geocapromys_ingrahami
Geocapromys_thoracatus	NA	NA
Macrocapromys_acevedo	Capromys_pilorides	Mesocapromys_melanurus
Macrocapromys_latus	Capromys_pilorides	Mesocapromys_melanurus
Mesocapromys_kraglievichi	Mesocapromys_angelcabrerai	Mesocapromys_nanus
Mesocapromys_angelcabrerai	NA	NA
Mesocapromys_auritus	NA	NA
Mesocapromys_melanurus	NA	NA
Mesocapromys_nanus	NA	NA
Mesocapromys_sanfelipensis	NA	NA
Mysateles_prehensilis	NA	NA
Hexolobodon_phenax	NA	NA
Hexolobodontinae_sp._nov.	Plagiodontia_aedium	Isolobodon_portoricensis
Isolobodon_montanus	NA	NA
Isolobodon_portoricensis	NA	NA
Hyperplagiodontia_araeum	Plagiodontia_aedium	Isolobodon_portoricensis
Plagiodontia_spelaeum	Plagiodontia_aedium	Isolobodon_portoricensis
Plagiodontia_aedium	NA	NA
Plagiodontia_velozi	Plagiodontia_aedium	Isolobodon_portoricensis
Rhizoplagiodontia_lemkei	Plagiodontia_aedium	Isolobodon_portoricensis
Boromys_offella	NA	NA
Boromys_torrei	NA	NA
Brotomys_contractus	Brotomys_voratus	Heteropsomys_insulans
Brotomys_voratus	NA	NA
Heteropsomys_insulans	NA	NA
Clidomys_osborni	Capromys_pilorides	Plagiodontia_aedium
Elasmodontomys_obliquus	Capromys_pilorides	Plagiodontia_aedium
Quemisia_gravis	Capromys_pilorides	Plagiodontia_aedium
Sheep_Pen_femur_(unidentified_rodent_taxon)	Capromys_pilorides	Plagiodontia_aedium
Tainotherium_valei	Capromys_pilorides	Plagiodontia_aedium
Xaymaca_fulvopulvis	Capromys_pilorides	Plagiodontia_aedium
Oryzomys_antillarum	NA	NA
Antillomys_rayi	NA	NA
Megalomys_audreyae	Megalomys_desmarestii	Megalomys_luciae
Megalomys_desmarestii	NA	NA
Megalomys_georginae	Megalomys_desmarestii	Megalomys_luciae
Megalomys_luciae	NA	NA
Oryzomyini_undescribed_species_(Anguilla_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(large_Grenada_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(large_Montserrat_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(Saba_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(small_Grenada_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(small_Montserrat_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oryzomyini_undescribed_species_(St._Martin_taxon)	Antillomys_rayi	Zygodontomys_sp.
Oligoryzomys_victus	NA	NA
Pennatomys_nivalis	NA	NA
Zygodontomys_sp.	NA	NA
Acratocnus_antillensis	Choloepus_hoffmanni	Choloepus_didactylus
Acratocnus_odontrigonus	Choloepus_hoffmanni	Choloepus_didactylus
Acratocnus_simorhynchus	Choloepus_hoffmanni	Choloepus_didactylus
Acratocnus_ye	Choloepus_hoffmanni	Choloepus_didactylus
Neocnus_gliriformis	Choloepus_hoffmanni	Choloepus_didactylus
Neocnus_comes	Choloepus_hoffmanni	Choloepus_didactylus
Neocnus_dousman	Choloepus_hoffmanni	Choloepus_didactylus
Neocnus_toupiti	Choloepus_hoffmanni	Choloepus_didactylus
Megalocnus_rodens	Choloepus_hoffmanni	Choloepus_didactylus
Megalocnus_zile	Choloepus_hoffmanni	Choloepus_didactylus
Parocnus_browni	Choloepus_hoffmanni	Choloepus_didactylus
Parocnus_serus	Choloepus_hoffmanni	Choloepus_didactylus
Choloepus_hoffmanni	NA	NA
Choloepus_didactylus	NA	NA
